document,topic,score
1389,1,0.122970976
15853,1,0.122900456
3470,1,0.12275455
14843,1,0.12268352
17382,1,0.122405306
13005,1,0.121981695
13120,1,0.121412404
18779,1,0.12139564
7248,1,0.1213362
12156,1,0.12114468
6205,1,0.121083796
13366,1,0.12106474
14967,1,0.12097062
14370,1,0.12083368
10583,1,0.12054318
14423,1,0.12053845
18676,1,0.120401606
8035,1,0.12030857
5163,1,0.120302685
6603,1,0.12014511
15390,1,0.12006895
7115,1,0.11984336
13641,1,0.11950352
3267,1,0.119381845
3727,1,0.119115695
8996,1,0.11910321
15053,1,0.11904673
17262,1,0.119016424
5408,1,0.11900292
1427,1,0.118702
18427,1,0.11857934
16897,1,0.118468404
16930,1,0.11832594
3384,1,0.118282065
18540,1,0.118263125
17137,1,0.11819001
1404,1,0.11804551
17264,1,0.118002415
9164,1,0.11732148
734,1,0.11637784
18005,1,0.116244785
7440,1,0.11609113
14709,1,0.115973525
601,1,0.11588801
10315,1,0.11545935
15527,1,0.115419894
4030,1,0.11506016
14137,1,0.11499338
17427,1,0.11456734
15323,1,0.11453789
15570,1,0.11423727
4710,1,0.11396444
8687,1,0.11388524
3791,1,0.11382255
1204,1,0.1136371
15897,1,0.113609366
1690,1,0.113471
9090,1,0.113256395
6281,1,0.112694725
926,1,0.112591565
14548,1,0.11246007
1753,1,0.112384796
11209,1,0.11233071
7364,1,0.11181149
4395,1,0.11161829
2541,1,0.11138761
10958,1,0.11103706
15734,1,0.11063611
317,1,0.11048987
1658,1,0.11014537
6364,1,0.11005238
18709,1,0.10988009
15553,1,0.10980591
18012,1,0.109315775
3534,1,0.10899002
14093,1,0.10891806
11260,1,0.10844736
12603,1,0.10788616
4679,1,0.1077888
5178,1,0.10764595
11612,1,0.107584
9072,1,0.10746116
6530,1,0.107058756
9500,1,0.106987834
10118,1,0.10689487
14049,1,0.10663724
3660,1,0.10623783
9485,1,0.10568463
11264,1,0.10563458
9848,1,0.105567195
17433,1,0.10492468
16659,1,0.104734
14962,1,0.10469523
12883,1,0.10403802
5086,1,0.10377988
17843,1,0.103764735
10575,1,0.10366461
5962,1,0.10363129
6915,1,0.10360005
7541,1,0.10342952
11233,1,0.10333323
7984,1,0.10332903
11651,1,0.10309224
8985,1,0.10299403
16705,1,0.102901615
16622,1,0.10199644
2756,1,0.10186319
1890,1,0.10173122
3969,1,0.101723365
14076,1,0.10132487
10494,1,0.10115073
9172,1,0.101137295
17680,1,0.10096565
16008,1,0.1008303
15344,1,0.10076659
11619,1,0.10066936
6537,1,0.100202374
18517,1,0.09904344
7264,1,0.09898343
14349,1,0.09855991
7117,1,0.09835235
10875,1,0.098189406
1259,1,0.09806219
17340,1,0.09781033
8745,1,0.09724251
3433,1,0.09709542
9266,1,0.09688207
17305,1,0.09671344
12241,1,0.09662371
2394,1,0.09345721
9548,1,0.093103245
2993,1,0.092478506
9872,1,0.09213842
5661,1,0.09203874
11564,1,0.09188385
3478,1,0.09156721
18582,1,0.09015139
8352,1,0.08870498
2120,1,0.08845421
4518,1,0.0881148
9910,1,0.087011285
14398,1,0.086610086
10318,1,0.08578091
17811,1,0.08556489
5511,1,0.084967546
2517,1,0.08457869
8322,1,0.08363146
1590,1,0.081609055
3982,1,0.077369146
14984,1,0.07382102
15941,1,0.07155806
14358,2,0.26116115
1638,2,0.25943676
10905,2,0.2556254
1834,2,0.25011566
1293,2,0.24430837
9924,2,0.23216097
5922,2,0.23034614
7086,2,0.22389342
9342,2,0.22343022
5363,2,0.21343437
2008,2,0.21146001
7228,2,0.21066712
9137,2,0.20837933
7571,2,0.20632796
11899,2,0.20363717
6484,2,0.20288523
15056,2,0.20253508
10467,2,0.2024873
398,2,0.202415
10336,2,0.20196056
9701,2,0.20088193
137,2,0.19846895
4878,2,0.19717449
11380,2,0.19150487
5425,2,0.19052042
9545,2,0.18805861
2853,2,0.18478963
2729,2,0.18321906
16527,2,0.18302706
10537,2,0.18253557
14293,2,0.18222082
15788,2,0.18096954
15763,2,0.180919
8097,2,0.18052478
16466,2,0.17972733
16512,2,0.17820054
5846,2,0.17738904
7060,2,0.17629232
13979,2,0.17585605
6891,2,0.17442206
18366,2,0.17390999
6329,2,0.17319465
12845,2,0.17310864
5146,2,0.1729564
4828,2,0.17264289
17222,2,0.17225562
1895,2,0.17175835
17155,2,0.17169797
17149,2,0.17153125
1244,2,0.17127684
12104,2,0.17024408
10772,2,0.17014354
7725,2,0.16991584
9555,2,0.1698561
11590,2,0.16967551
7630,2,0.16933991
12088,2,0.16933821
1359,2,0.16855668
1788,2,0.16816093
8487,2,0.16625313
17574,2,0.16580494
2782,2,0.1656699
324,2,0.16531424
968,2,0.16503757
17367,2,0.16448152
1416,2,0.16435851
1976,2,0.16432449
17542,2,0.164096
13364,2,0.16396703
6980,2,0.16311002
11515,2,0.16275506
17523,2,0.1625862
8842,2,0.16252476
